Date,Sales
2013-01-31,4193.032258064516
2013-02-28,4031.5714285714284
2013-03-31,4576.290322580645
2013-04-30,4263.2
2013-05-31,3946.1612903225805
2013-06-30,4073.1666666666665
2013-07-31,4807.193548387097
2013-08-31,4063.451612903226
2013-09-30,4263.933333333333
2013-10-31,4222.903225806452
2013-11-30,4335.366666666667
2013-12-31,5073.0
2014-01-31,4318.8387096774195
2014-02-28,4605.428571428572
2014-03-31,4496.612903225807
2014-04-30,4590.933333333333
2014-05-31,4474.419354838709
2014-06-30,4489.233333333334
2014-07-31,4876.8387096774195
2014-08-31,4418.548387096775
2014-09-30,4685.5
2014-10-31,4224.612903225807
2014-11-30,4886.933333333333
2014-12-31,5294.935483870968
2015-01-31,4455.096774193548
2015-02-28,4490.142857142857
2015-03-31,5014.387096774193
2015-04-30,4690.033333333334
2015-05-31,4238.451612903225
2015-06-30,4940.5
2015-07-31,5100.032258064516
